headline,url,time,summary,tags,date
商务部将12家美国实体列入出口管制管控名单,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2781837.shtml,2025-04-09 19:07:00,美国东部时间4月8日，商务部今日发布公告，将12家美国实体列入出口管制管控名单，禁止向其出口两用物项：1.美国光子公司（AmericanPhotonics）2.,"['[""[\'[]\']""]']",2025-04-09
商务部：中方在世贸组织争端解决机制下起诉美方最新加征关税措施,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2781164.shtml,2025-04-09 19:01:00,财联社4月9日电，商务部新闻发言人就中方在世贸组织追加起诉美升级对华关税措施答记者问。问：据悉，中国在世贸组织就美国对华产品进一步加征50%关税追加提起诉讼。能,"['[""[\'[]\']""]']",2025-04-09
强硬反制！对原产于美国的所有进口商品再加征50%关税,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs6622597.shtml,2025-04-09 19:00:00,美国东部时间4月8日，美方将此前宣布的对中国输美产品加征34%所谓“对等关税”，进一步提高50%至84%。国务院关税税则委员会今天发布公告，自4月10日12时0,"['[""[\'[]\']""]']",2025-04-09
铺就乡村振兴“幸福路”,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2763677.shtml,2025-04-09 18:22:00,傍晚时分，忻城县新圩乡隆礼村弄丁屯返村的车辆多了起来，今天是赶集日，一辆辆摩托车、三轮车满载而归。“这个会车道真是修到我们心坎上了，现在出门方便多了！,"['[""[\'[]\']""]']",2025-04-09
三次进村入户督导 推动守好一汪清泉,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs6610892.shtml,2025-04-09 18:22:00,3月28日，来宾市兴宾区纪委监委调研督导组来到高安乡高连村，走进村民冯丽萍家开展“回头看”。冯丽萍正在用自来水洗菜，看着熟人到来，赶忙放下手中的活迎了上来。,"['[""[\'[]\']""]']",2025-04-09
进一步建立健全各类监督贯通协调制度机制,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs3948448.shtml,2025-04-09 18:22:00,健全有效的制度机制是促进各类监督贯通协调、提升监督效能的重要保障。然而，调研中记者发现，某地虽然出台了纪检监察监督与审计监督等多类监督贯通协同的相关工作办法...,"['[\'[""[\\\'建立健全\\\'""\'', ' \' "" \\\'纪检监察\\\']""]\']']",2025-04-09
家风故事丨追忆父亲 守则育人,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5990650.shtml,2025-04-09 18:22:00,清明前的雨总是下得缠绵。望着窗外被雨水洗得发亮的树叶，听着沙沙的雨声，父亲对我的谆谆教导仿佛又回荡在我的耳边。四年了，父亲离开我已经四年了。,"['[""[\'[]\']""]']",2025-04-09
蹊跷的转账记录,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5989917.shtml,2025-04-09 18:22:00,“在办案过程中，我们要像去年查办高某某一案那样保持敏感，深挖细查每一个细节。”近日，岑溪市纪委监委驻市财政局纪检监察组黄组长与组员进行案件复盘总结时...,"['[\'[""[\\\'纪检\\\']""]\']']",2025-04-09
回访教育显温度，使犯错干部重燃热情,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5989149.shtml,2025-04-09 18:22:00,“刚被处分的时候，觉得自己政治生涯止步于此了，对工作也失去了动力，一度想就这样浑浑噩噩地过下去，但组织没有因为我犯了错就放弃对我的关心和教育，帮助我解开了心结...,"['[\'[""[\\\'党员干部\\\']""]\']']",2025-04-09
冲上热搜！微信会增加“已读”功能？腾讯最新回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs3943291.shtml,2025-04-09 18:12:00,4月9日，“腾讯客服回应微信开通已读功能”话题冲上微博热搜。近日，多名网友讨论社交软件“已读显示”及“访客记录”功能，有网友反对微信开通，认为会暴露阅读状态...,"['[\'[""[\\\'微信\\\'""\'', ' \' "" \\\'腾讯\\\'""\'', ' \' "" \\\'腾讯客服\\\']""]\']']",2025-04-09
大雾黄色预警：湖南、江西、广西等地局地有强浓雾,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq6506225.shtml,2025-04-09 18:08:00,来源：央视网央视网消息：中央气象台4月9日18时继续发布大雾黄色预警：预计，4月9日夜间至10日白天，黄海南部偏南海域、东海西部海域、长江口及杭州湾附近海域...,"['[""[\'[]\']""]']",2025-04-09
“提升退役士兵技能培训针对性实效性研究”课题申报评审结果公示,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5984898.shtml,2025-04-09 18:07:00,按照有关程序，现将退役军人事务部2025年“提升退役士兵技能培训针对性实效性研究”部级课题申报评审结果（拟承研单位及课题负责人）公示如下：,"['[\'[""[\\\'退役军人事务部\\\']""]\']']",2025-04-09
商务部新闻发言人就美方发布TikTok延期行政令答记者问,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs3948592.shtml,2025-04-09 18:01:00,来源：央视网央视网消息：商务部新闻发言人就美方发布TikTok延期行政令答记者问，详情如下：问：据悉，美方发布TikTok延期行政令，延期75天，暂不实施美相关法律。,"['[\'[""[\\\'商务部\\\'""\'', ' \' "" \\\'TikTok\\\'""\'', ' \' "" \\\'美国\\\']""]\']']",2025-04-09
交通运输部办公厅修订印发《交通强国建设试点工作管理办法》,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2760156.shtml,2025-04-09 18:01:00,来源：央视网央视网消息：近日，交通运输部办公厅修订印发《交通强国建设试点工作管理办法》(简称《办法》)，规范工作流程，加强评估管理，优化验收评价，提升试点质效。,"['[\'[""[\\\'交通运输部\\\'""\'', ' \' "" \\\'办法\\\']""]\']']",2025-04-09
商务部回应美方发布TikTok延期行政令：反对强取豪夺的做法,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5980222.shtml,2025-04-09 18:00:00,财联社4月9日电，有记者问：据悉，美方发布TikTok延期行政令，延期75天，暂不实施美相关法律。请问商务部有何评论。商务部答：中方注意到相关情况。中方重申，中,"['[""[\'[]\']""]']",2025-04-09
“境内办事、境外收钱”的李勇，敛财近30年,https://news.sina.com.cn/c/2025-04-09/doc-inesqerp6104508.shtml,2025-04-09 17:33:00,编辑丨余晖2025年4月9日，湖北省襄阳市中级人民法院一审公开开庭审理了中国海洋石油集团有限公司原党组副书记、总经理李勇受贿一案。襄阳市人民检察院起诉指控：19,"['[""[\'[]\']""]']",2025-04-09
四川自贡“7·17”火灾致16人遇难，32名公职人员被追责问责,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4057675.shtml,2025-04-09 17:17:00,四川自贡九鼎大楼重大火灾事故相关责任人被严肃查处公安机关对19名涉案人员立案侦查纪检监察机关严肃追责问责32名公职人员四川自贡九鼎大楼“7·17”重大火灾事故发,"['[""[\'[]\']""]']",2025-04-09
新修订《婚姻登记条例》自5月10日起施行,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2866235.shtml,2025-04-09 17:01:00,4月9日，新修订的《婚姻登记条例》公布，自2025年5月10日起施行。条例全文共6章28条，包括“总则”“结婚登记”“离婚登记”“婚姻登记档案管理”“法律责任”,"['[""[\'[]\']""]']",2025-04-09
落马女厅官罗璇被捕！曾主动交代问题,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm5999399.shtml,2025-04-09 16:58:00,编辑丨余晖据最高检4月9日消息，江西省萍乡市委原常委、市政府原副市长罗璇（副厅级）涉嫌贪污、受贿一案，由江西省监察委员会调查终结，移送检察机关审查起诉。经江西省,"['[""[\'[]\']""]']",2025-04-09
国防部奉劝菲方“倚外闹海”得不偿失,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4034957.shtml,2025-04-09 16:25:00,来源：央视网央视网消息：4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。记者：据报道，美防长访问菲律宾重申落实《美菲共同防御条约》承诺...,"['[\'[""[\\\'国防部\\\'""\'', ' \' "" \\\'中国\\\'""\'', ' \' "" \\\'南海\\\']""]\']']",2025-04-09
新华时评·锲而不舍落实中央八项规定精神丨走好群众路线这条党的生命线,https://news.sina.com.cn/c/2025-04-09/doc-inesqerp6073182.shtml,2025-04-09 16:20:00,群众路线是党的生命线和根本工作路线。坚持党的群众路线，始终保持党同人民群众的血肉联系，是全党落实中央八项规定精神、推进作风建设的“必修课”。,"['[""[\'[]\']""]']",2025-04-09
国防部：民进党当局“以武拒统”自取灭亡,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4023163.shtml,2025-04-09 16:13:00,据@国防部发布，4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。记者：据报道，台湾方面已从美国接收首架F-16V战机，后续还有65架将于2026,"['[""[\'[]\']""]']",2025-04-09
港股收评：恒生指数收涨0.68%，恒生科技指数涨2.64%，科技股延续涨势,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2841126.shtml,2025-04-09 16:12:00,4月9日，港股收盘，恒生指数涨0.68%，恒生科技指数涨2.64%，南向资金净买入超355亿港元创新高。科技股延续涨势，半导体、军工、硬件设备表现亮眼，中芯国际,"['[""[\'[]\']""]']",2025-04-09
中国救援队伍完成缅甸地震救援任务平安回国,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4022754.shtml,2025-04-09 16:09:00,4月9日下午，赴缅甸开展地震救援的中国救援队、中国国际救援队、中国香港特区救援队圆满完成国际救援任务，乘坐4架中国空军运-20飞机飞抵北京首都国际机场。,"['[\'[""[\\\'缅甸\\\'""\'', ' \' "" \\\'救援队\\\'""\'', ' \' "" \\\'香港\\\']""]\']']",2025-04-09
美方将“阻止大陆夺取台湾”作为主要优先事项？国防部回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqerp6097954.shtml,2025-04-09 16:08:00,4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。记者：据美媒披露，美防长签署秘密内部指导备忘录，将中国视作“唯一步步紧逼的威胁”，将“阻止大陆夺,"['[""[\'[]\']""]']",2025-04-09
国防部：美把中国当作威胁是严重的战略误判,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2837255.shtml,2025-04-09 16:06:00,据@国防部发布，4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。记者：据美媒披露，美防长签署秘密内部指导备忘录，将中国视作“唯一步步紧逼的威胁”,"['[""[\'[]\']""]']",2025-04-09
国防部：敦促有关国家不要把亚太地区当成地缘博弈的“狩猎场”,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4029951.shtml,2025-04-09 16:03:00,来源：央视网央视网消息：4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。有记者问，据报道，美防长访日时称，“武士之国”日本在“应对中国‘侵略’中不可或...,"['[\'[""[\\\'国防部\\\'""\'', ' \' "" \\\'亚太地区\\\'""\'', ' \' "" \\\'日本\\\']""]\']']",2025-04-09
检察机关依法分别对张谦、张高社、王志远、罗璇、刘传河决定逮捕,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4022401.shtml,2025-04-09 16:00:00,来源：央视网央视网消息：据最高检消息，检察机关依法分别对张谦、张高社、王志远、罗璇、刘传河决定逮捕，详情如下：青海省人民检察院依法对张谦决定逮捕青海省委政法委原...,"['[\'[""[\\\'青海省\\\'""\'', ' \' "" \\\'人民检察院\\\'""\'', ' \' "" \\\'张谦\\\']""]\']']",2025-04-09
连续反弹超4500家收涨，今天A股韧性尽显,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2756966.shtml,2025-04-09 15:59:00,每经记者：赵云每经编辑：肖芮冬4月9日，市场全天触底反弹，沪指领涨，北证50指数涨超10%。截至收盘，沪指涨1.31%，深成指涨1.22%，创业板指涨0.98%,"['[""[\'[]\']""]']",2025-04-09
“万绿丛中一片红”！A股低开高走放量大涨，超4500只股票上涨，北证指数爆拉超10%，南向资金净买入超320亿港元,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru6671763.shtml,2025-04-09 15:52:00,4月9日，全球市场避险情绪急剧升温。亚太市场方面，韩国KOSPI指数收盘下跌1.74%，日经225种股票平均价格指数收盘大跌3.93%，台湾加权指数收盘跌近6%,"['[""[\'[]\']""]']",2025-04-09
今年3月全国54城开通运营城市轨道交通线路326条 完成客运量28.8亿人次,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2836512.shtml,2025-04-09 15:50:00,来源：央视网央视网消息：据交通运输部消息，2025年3月，31个省（自治区、直辖市）和新疆生产建设兵团共有54个城市开通运营城市轨道交通线路326条，运营里程10975.8公里...,"['[\'[""[\\\'轨道交通\\\']""]\']']",2025-04-09
增值税发票数据显示：一季度我国高质量发展成效明显 呈现六方面亮点,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru6673219.shtml,2025-04-09 15:40:00,来源：央视网央视网消息：据国家税务总局消息，税收数据是重要的经济数据，能直接反映经济运行情况。近日，国家税务总局发布的增值税发票数据显示，2025年一季度...,"['[\'[""[\\\'增值税发票\\\'""\'', ' \' "" \\\'高质量发展\\\'""\'', ' \' "" \\\'国家税务总局\\\']""]\']']",2025-04-09
欧盟可以在中美“贸易战”中发挥什么作用？外交部回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4004726.shtml,2025-04-09 15:39:00,财联社4月9日电，外交部发言人林剑4月9日主持例行记者会。埃菲社提问，西班牙首相桑切斯正在访问中国，而现在中美贸易战还在持续。中方认为西班牙和欧盟可以在缓解这种,"['[""[\'[]\']""]']",2025-04-09
商务部：中国外贸韧性不减 进出口实现平稳开局,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4010838.shtml,2025-04-09 15:39:00,在今天下午召开的商务部专题新闻发布会上，相关负责人表示，今年以来，中国外贸发展面临的风险挑战明显增多，但广大外贸企业勇于开拓创新...,"['[\'[""[\\\'商务部\\\'""\'', ' \' "" \\\'中国外贸\\\'""\'', ' \' "" \\\'进出口\\\']""]\']']",2025-04-09
特朗普称中国非常渴望达成关税协议，情况是否属实？外交部回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru4002527.shtml,2025-04-09 15:36:00,【环球时报-环球网报道 记者白云怡】在9日的外交部例行记者会上，有媒体提问称，中国将采取哪些措施反制美国加征的关税？美国总统特朗普称，中国非常渴望达成协议...,"['[\'[""[\\\'特朗普\\\'""\'', ' \' "" \\\'关税\\\'""\'', ' \' "" \\\'中国\\\']""]\']']",2025-04-09
中方利用欺骗性手段试图雇佣美国政府前雇员？外交部回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2821823.shtml,2025-04-09 15:32:00,财联社4月9日电，外交部发言人林剑4月9日主持例行记者会。有外媒记者提问，美国反情报中心称，中方利用欺骗性的手段来试图雇佣美国政府前雇员。中方对此有何回应？“我,"['[""[\'[]\']""]']",2025-04-09
特朗普称中国非常渴望达成协议 中方回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2820579.shtml,2025-04-09 15:29:00,财联社4月9日电，外交部发言人林剑4月9日主持例行记者会。法新社记者提问，发言人刚才表示中方将采取坚决行动应对美方今日生效的新关税措施。您能否给出具体说明，中国,"['[""[\'[]\']""]']",2025-04-09
外交部：美加征港口费用损人害己,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru6672169.shtml,2025-04-09 15:26:00,4月9日，外交部发言人林剑主持例行记者会。有记者就美国加征港口费提问。林剑表示，征收港口费，对货物的装卸设备加征关税等措施，损人害己。既推高了全球的海运成本，扰,"['[""[\'[]\']""]']",2025-04-09
外交部回应日本2025年版外交蓝皮书涉华内容,https://news.sina.com.cn/c/2025-04-09/doc-inesqerp6044893.shtml,2025-04-09 15:25:00,财联社4月9日电，外交部4月9日下午举行例行记者会。记者：日本政府4月8日发布2025年版《外交蓝皮书》，文件将中日关系定位为日最重要的双边关系之一，称将继续同,"['[""[\'[]\']""]']",2025-04-09
商务部肖露：中国将与更多贸易伙伴携手合作 为全球贸易增长注入稳定力量,https://news.sina.com.cn/c/2025-04-09/doc-inesqerr2818533.shtml,2025-04-09 15:24:00,财联社4月9日电，商务部对外贸易司副司长肖露4月9日在新闻发布会上表示，中国外贸有信心有底气面对各种风险挑战。肖露表示，信心主要来自外贸稳固基本盘、充沛新动能以,"['[""[\'[]\']""]']",2025-04-09
外交部回应美防长抹黑破坏中国巴拿马合作言论,https://news.sina.com.cn/c/2025-04-09/doc-inespyiw6782733.shtml,2025-04-09 15:19:00,财联社4月9日电，外交部4月9日下午举行例行记者会。有记者就美防长赫格塞思访问巴拿马期间的涉华言论提问。外交部发言人林剑：美国的高级官员恶意攻击中国，抹黑、破坏,"['[""[\'[]\']""]']",2025-04-09
国防部：美防长搞政治作秀必遭世人反对和历史嘲讽,https://news.sina.com.cn/c/2025-04-09/doc-inesqerp6043775.shtml,2025-04-09 15:19:00,4月9日下午，国防部新闻发言人张晓刚大校就近期涉军问题发布消息。 有记者问，据报道，美防长访日时，赞美硫磺岛战役中日军的“勇敢精神”，相关言论在美国内引发质疑。,"['[""[\'[]\']""]']",2025-04-09
全文发布｜《关于中美经贸关系若干问题的中方立场》,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru3995082.shtml,2025-04-09 15:13:00,新华社北京4月9日电 国务院新闻办公室9日发布《关于中美经贸关系若干问题的中方立场》白皮书。全文如下： 关于中美经贸关系若干问题的中方立场 （2025年4月）...,"['[""[\'[]\']""]']",2025-04-09
“国家队”持续出手增持 今日股市收盘全线飘红,https://news.sina.com.cn/c/2025-04-09/doc-inesqeru6658947.shtml,2025-04-09 15:13:00,今日收盘，上证指数（000001）涨1.31%，深证成指（399001）涨1.22%，北证50（899050）涨10.27%，创业板指（399006）涨0.98%，科创综指（000680）涨3.78%。,"['[\'[""[\\\'资本市场\\\'""\'', ' \' "" \\\'上证指数\\\']""]\']']",2025-04-09
美方认为巨额贸易逆差让美国“吃亏” 商务部回应,https://news.sina.com.cn/c/2025-04-09/doc-inespyit2942684.shtml,2025-04-09 15:08:00,财联社4月9日电，商务部有关负责人就《关于中美经贸关系若干问题的中方立场》白皮书答记者问。美方认为巨额贸易逆差让美国“吃亏”，请问中方对此有何评论？答：中美货物,"['[""[\'[]\']""]']",2025-04-09
商务部：如果美方执意进一步升级经贸限制措施，中方奉陪到底,https://news.sina.com.cn/c/2025-04-09/doc-inespyiw4120776.shtml,2025-04-09 15:06:00,"Ifyouarethewebmaster,configurerelatedparametersontheWAFconsoletoallowyourrequest","['[""[\'[]\']""]']",2025-04-09
